"EPCI_EPT","TYPO_IPCE","TYPO_INEG2","TYPO_FREI"
"240200592","MOY","Q4","DEGP"
"240200600","DEGP","Q4","DEGP"
"240200634","DEGP","Q5","DEG"
"240300491","MOY","Q4","DEG"
"240300558","MOY","Q1","DEGP"
"240300566","MOY","Q2","DEG"
"240300657","MOY","Q3","DEG"
"240400440","DEG","Q2","DEG"
"240500439","FAVP","Q2","FAV"
"240500462","FAVP","Q2","FAVP"
"240600551","FAV","Q3","FAV"
"240600585","FAV","Q3","FAV"
"240600593","FAV","Q2","DEGP"
"240700302","DEGP","Q4","MOY"
"240700617","DEGP","Q3","DEG"
"240700716","FAVP","Q4","DEG"
"240700815","MOY","Q3","DEG"
"240700864","DEG","Q5","MOY"
"240800821","DEGP","Q5","MOY"
"240800847","DEG","Q5","DEG"
"240800862","DEG","Q5","MOY"
"240800920","DEGP","Q5","MOY"
"240900431","DEG","Q4","DEG"
"240900464","DEGP","Q3","DEGP"
"241000223","FAV","Q3","FAV"
"241000405","DEG","Q1","DEG"
"241000447","MOY","Q2","DEGP"
"241000488","FAV","Q3","DEGP"
"241100593","DEGP","Q3","DEG"
"241200187","FAV","Q2","FAVP"
"241200542","FAV","Q3","DEG"
"241200567","MOY","Q4","MOY"
"241200625","FAVP","Q4","MOY"
"241200641","FAVP","Q3","FAV"
"241200658","FAVP","Q3","MOY"
"241200674","FAVP","Q4","FAV"
"241200765","FAV","Q5","FAVP"
"241200807","FAV","Q4","DEG"
"241200906","MOY","Q5","MOY"
"241200914","FAV","Q2","DEG"
"241300375","MOY","Q4","FAV"
"241300417","DEG","Q4","DEGP"
"241400415","MOY","Q3","MOY"
"241400514","MOY","Q3","DEG"
"241400555","FAV","Q2","FAVP"
"241400860","FAVP","Q1","FAVP"
"241400878","FAVP","Q1","FAV"
"241500230","FAV","Q2","MOY"
"241500255","FAV","Q2","DEG"
"241500271","MOY","Q3","FAVP"
"241501055","MOY","Q4","FAVP"
"241501089","FAVP","Q1","DEG"
"241501139","FAV","Q1","MOY"
"241600303","FAV","Q3","DEG"
"241700434","MOY","Q1","FAVP"
"241700459","MOY","Q2","FAVP"
"241700517","FAV","Q3","FAV"
"241700624","DEG","Q1","MOY"
"241700632","MOY","Q3","MOY"
"241700640","DEG","Q3","DEG"
"241700699","DEG","Q2","FAV"
"241800374","MOY","Q5","FAV"
"241800424","MOY","Q2","FAVP"
"241800432","DEGP","Q5","FAV"
"241800457","MOY","Q2","FAV"
"241800507","MOY","Q1","MOY"
"241900133","FAV","Q3","DEGP"
"241927201","FAV","Q1","MOY"
"241927243","MOY","Q5","FAV"
"242000354","MOY","Q4","FAV"
"242000495","DEGP","Q5","DEG"
"242000503","FAV","Q1","DEGP"
"242010056","FAVP","Q2","FAV"
"242010130","DEG","Q3","DEG"
"242020071","FAVP","Q1","FAV"
"242020105","DEGP","Q5","DEGP"
"242100154","FAVP","Q2","MOY"
"242100410","MOY","Q1","FAV"
"242101434","DEGP","Q3","DEGP"
"242101442","MOY","Q2","MOY"
"242101459","FAV","Q2","MOY"
"242101491","MOY","Q3","MOY"
"242101509","FAV","Q4","MOY"
"242200715","MOY","Q2","DEG"
"242300135","MOY","Q2","MOY"
"242320000","MOY","Q3","DEG"
"242320109","MOY","Q3","DEGP"
"242400752","MOY","Q2","DEGP"
"242400935","DEGP","Q4","DEGP"
"242401024","MOY","Q1","DEG"
"242500320","FAVP","Q4","MOY"
"242500338","MOY","Q4","MOY"
"242500361","FAV","Q1","FAV"
"242504116","FAV","Q4","FAV"
"242504181","FAVP","Q5","DEG"
"242504355","FAVP","Q5","DEG"
"242504371","FAV","Q4","DEG"
"242504447","FAVP","Q3","DEG"
"242504488","FAV","Q4","DEG"
"242504496","FAVP","Q5","DEG"
"242600252","MOY","Q4","MOY"
"242600492","MOY","Q2","FAV"
"242600534","DEG","Q1","MOY"
"242700276","FAV","Q2","DEGP"
"242700607","FAV","Q3","MOY"
"242852465","FAV","Q3","DEGP"
"242900074","FAVP","Q3","MOY"
"242900314","MOY","Q1","FAV"
"242900553","FAVP","Q2","FAV"
"242900561","MOY","Q3","DEGP"
"242900629","MOY","Q3","DEG"
"242900645","DEG","Q2","MOY"
"242900660","FAV","Q3","FAVP"
"242900694","FAV","Q3","MOY"
"242900702","MOY","Q3","FAVP"
"242900710","FAV","Q1","MOY"
"242900744","MOY","Q3","DEGP"
"242900751","FAV","Q3","MOY"
"242900769","MOY","Q2","FAV"
"242900793","FAV","Q3","MOY"
"242900801","FAVP","Q3","MOY"
"242900835","MOY","Q2","MOY"
"243000270","DEGP","Q2","MOY"
"243000296","MOY","Q3","MOY"
"243000569","FAV","Q4","MOY"
"243000585","DEGP","Q5","DEGP"
"243000593","DEG","Q4","DEG"
"243000643","DEG","Q3","DEG"
"243000650","DEG","Q2","FAVP"
"243000684","MOY","Q3","MOY"
"243100518","MOY","Q2","FAVP"
"243100567","MOY","Q4","DEGP"
"243100633","FAVP","Q2","FAV"
"243100732","FAVP","Q2","FAVP"
"243100773","FAV","Q3","MOY"
"243100781","FAV","Q4","MOY"
"243100815","FAVP","Q1","FAVP"
"243200391","MOY","Q2","DEG"
"243200409","DEGP","Q4","DEG"
"243200417","MOY","Q2","DEG"
"243200425","MOY","Q3","FAV"
"243200458","DEG","Q3","DEG"
"243200508","DEG","Q4","DEG"
"243200599","MOY","Q4","MOY"
"243200607","MOY","Q1","DEGP"
"243300316","FAV","Q1","FAVP"
"243300563","MOY","Q2","FAV"
"243300811","DEGP","Q5","DEGP"
"243301165","FAVP","Q2","FAVP"
"243301181","MOY","Q5","DEG"
"243301215","FAVP","Q1","MOY"
"243301223","FAV","Q3","MOY"
"243301249","FAV","Q2","FAV"
"243301264","FAVP","Q1","FAV"
"243301355","FAVP","Q1","FAV"
"243301371","DEGP","Q4","DEGP"
"243301389","FAVP","Q2","FAVP"
"243301397","MOY","Q3","MOY"
"243301405","FAVP","Q3","FAVP"
"243301439","FAVP","Q1","FAV"
"243301447","FAVP","Q1","FAV"
"243301454","MOY","Q3","DEG"
"243301504","FAV","Q2","FAVP"
"243400017","MOY","Q1","MOY"
"243400355","DEG","Q4","MOY"
"243400470","MOY","Q2","FAV"
"243400488","DEG","Q4","DEG"
"243400520","DEG","Q3","MOY"
"243400694","MOY","Q4","MOY"
"243400736","DEGP","Q4","DEGP"
"243400769","DEGP","Q3","DEGP"
"243400819","DEGP","Q3","DEGP"
"243500139","MOY","Q1","FAVP"
"243500550","FAVP","Q2","FAV"
"243500618","FAVP","Q1","FAV"
"243500634","FAVP","Q4","DEG"
"243500659","FAVP","Q2","FAVP"
"243500667","FAVP","Q2","FAV"
"243500725","FAV","Q2","MOY"
"243500733","FAVP","Q2","DEG"
"243500741","MOY","Q3","DEGP"
"243500774","FAVP","Q1","FAVP"
"243500782","FAV","Q1","FAVP"
"243600202","MOY","Q2","DEG"
"243600236","MOY","Q1","DEG"
"243600293","FAVP","Q3","MOY"
"243600301","FAV","Q1","FAV"
"243600319","MOY","Q2","MOY"
"243600327","MOY","Q1","MOY"
"243600343","FAV","Q4","FAV"
"243600350","MOY","Q1","FAV"
"243700499","FAV","Q1","MOY"
"243700754","MOY","Q1","FAV"
"243700820","FAVP","Q2","FAVP"
"243800604","MOY","Q3","MOY"
"243800745","FAVP","Q2","FAVP"
"243800935","FAV","Q3","DEGP"
"243800984","FAV","Q4","FAV"
"243801024","FAVP","Q4","FAVP"
"243801073","FAV","Q4","MOY"
"243801255","FAVP","Q2","FAV"
"243900354","FAVP","Q3","FAV"
"243900420","FAV","Q3","FAV"
"243900479","DEG","Q4","FAV"
"243900560","FAVP","Q3","DEG"
"243900610","FAV","Q4","MOY"
"243901089","MOY","Q4","DEG"
"244000543","DEGP","Q5","MOY"
"244000659","FAV","Q2","MOY"
"244000675","MOY","Q2","DEG"
"244000691","DEG","Q5","DEGP"
"244000766","MOY","Q4","MOY"
"244000774","FAVP","Q2","FAV"
"244000808","MOY","Q1","MOY"
"244000824","FAV","Q3","MOY"
"244000857","MOY","Q4","FAVP"
"244000865","MOY","Q4","FAV"
"244000873","DEG","Q4","FAVP"
"244000881","MOY","Q3","DEGP"
"244100293","FAV","Q1","MOY"
"244100780","FAV","Q1","MOY"
"244100798","FAV","Q1","FAV"
"244100806","MOY","Q2","FAVP"
"244200614","FAV","Q3","MOY"
"244200622","FAVP","Q4","FAV"
"244200630","FAVP","Q4","DEG"
"244200770","DEG","Q3","DEG"
"244200820","FAV","Q5","FAV"
"244200895","FAV","Q4","MOY"
"244300307","FAVP","Q4","MOY"
"244301016","FAV","Q4","MOY"
"244301099","DEG","Q5","DEG"
"244301107","MOY","Q4","DEG"
"244301123","FAV","Q2","DEG"
"244301131","FAVP","Q3","FAVP"
"244400404","FAV","Q1","FAV"
"244400438","FAVP","Q3","FAVP"
"244400453","FAV","Q5","DEG"
"244400503","FAVP","Q2","FAVP"
"244400537","FAV","Q4","MOY"
"244400552","FAVP","Q3","DEGP"
"244400586","FAV","Q4","FAVP"
"244400610","FAV","Q3","DEG"
"244400644","MOY","Q4","FAV"
"244500203","DEGP","Q2","DEGP"
"244500211","DEG","Q4","DEGP"
"244500419","FAV","Q2","DEGP"
"244500427","FAVP","Q2","MOY"
"244500468","MOY","Q1","MOY"
"244500484","FAVP","Q1","MOY"
"244500542","FAV","Q3","DEGP"
"244600433","MOY","Q2","DEGP"
"244600482","DEG","Q1","FAV"
"244600532","MOY","Q2","MOY"
"244600573","MOY","Q4","DEG"
"244700449","DEG","Q5","FAV"
"244700464","DEG","Q3","MOY"
"244701355","DEG","Q4","DEG"
"244701405","DEG","Q4","DEG"
"244800405","FAVP","Q1","FAV"
"244800470","MOY","Q2","FAV"
"244900015","MOY","Q1","FAV"
"244900809","MOY","Q3","MOY"
"244900882","FAV","Q3","DEG"
"245100615","FAV","Q2","FAV"
"245100888","MOY","Q2","DEGP"
"245100979","DEGP","Q4","DEG"
"245200597","MOY","Q3","FAV"
"245300223","FAV","Q3","DEG"
"245300355","FAVP","Q2","DEG"
"245300389","FAV","Q4","MOY"
"245300447","FAV","Q2","MOY"
"245400171","FAVP","Q1","FAV"
"245400189","FAV","Q2","MOY"
"245400262","MOY","Q4","DEG"
"245400510","FAV","Q4","DEGP"
"245400601","FAV","Q3","FAV"
"245400676","MOY","Q1","FAV"
"245400759","FAV","Q4","DEG"
"245500327","DEG","Q5","MOY"
"245501176","FAV","Q4","DEGP"
"245501184","MOY","Q5","MOY"
"245501242","DEG","Q5","DEGP"
"245501259","MOY","Q4","DEG"
"245600440","FAVP","Q2","MOY"
"245600465","DEG","Q4","FAV"
"245614383","FAV","Q3","FAV"
"245614417","MOY","Q2","DEG"
"245614433","MOY","Q2","DEG"
"245700133","MOY","Q5","MOY"
"245700372","DEGP","Q5","DEGP"
"245700398","DEGP","Q5","DEGP"
"245700695","FAVP","Q4","FAV"
"245700950","FAV","Q3","FAV"
"245701164","DEG","Q5","MOY"
"245701206","MOY","Q4","DEG"
"245701222","DEG","Q5","DEGP"
"245701271","MOY","Q4","DEG"
"245701354","FAVP","Q4","MOY"
"245701362","FAV","Q3","MOY"
"245701404","FAV","Q4","MOY"
"245801063","FAVP","Q1","FAV"
"245804406","MOY","Q2","FAV"
"245804497","FAV","Q2","DEG"
"245900428","DEGP","Q4","DEGP"
"245900758","MOY","Q4","DEGP"
"245901038","DEG","Q4","DEG"
"245901152","DEGP","Q5","DEGP"
"245901160","DEGP","Q4","DEGP"
"246000129","FAV","Q1","DEGP"
"246000376","FAV","Q1","MOY"
"246000566","MOY","Q2","DEGP"
"246000582","FAV","Q3","DEGP"
"246000707","FAV","Q2","DEGP"
"246000749","MOY","Q3","MOY"
"246000756","DEGP","Q5","DEGP"
"246000764","FAVP","Q2","FAVP"
"246000772","MOY","Q4","DEG"
"246000848","MOY","Q3","DEG"
"246000855","MOY","Q2","DEGP"
"246000871","FAVP","Q2","DEG"
"246000897","FAV","Q3","DEG"
"246000913","MOY","Q3","DEGP"
"246000921","FAV","Q2","MOY"
"246100390","FAV","Q2","DEGP"
"246100663","MOY","Q1","DEG"
"246200299","DEGP","Q4","DEGP"
"246200364","DEGP","Q5","DEGP"
"246200380","MOY","Q5","DEGP"
"246200729","DEGP","Q4","DEGP"
"246200844","MOY","Q5","DEG"
"246201016","MOY","Q5","DEG"
"246300701","MOY","Q1","FAV"
"246300966","FAV","Q2","MOY"
"246301097","MOY","Q3","FAV"
"246400337","FAV","Q2","DEG"
"246401756","FAV","Q3","MOY"
"246500482","MOY","Q2","DEG"
"246500573","FAVP","Q3","FAV"
"246600282","MOY","Q3","DEG"
"246600373","DEG","Q2","DEG"
"246600399","MOY","Q1","FAV"
"246600415","DEGP","Q3","DEGP"
"246600423","DEGP","Q4","DEGP"
"246600449","DEG","Q4","DEG"
"246600464","FAV","Q1","FAV"
"246600548","DEGP","Q1","DEGP"
"246700306","MOY","Q2","FAV"
"246700488","MOY","Q2","FAV"
"246700744","FAVP","Q2","FAVP"
"246700777","FAVP","Q3","FAVP"
"246700843","FAVP","Q2","FAVP"
"246700926","FAV","Q4","DEG"
"246700959","FAVP","Q2","MOY"
"246700967","FAV","Q2","FAV"
"246701064","FAVP","Q2","FAV"
"246701080","FAVP","Q3","FAVP"
"246701098","MOY","Q4","FAV"
"246800205","FAV","Q3","FAVP"
"246800395","DEG","Q2","DEGP"
"246800445","FAV","Q5","DEG"
"246800494","FAVP","Q3","FAV"
"246800551","FAV","Q3","MOY"
"246800569","FAV","Q2","DEG"
"246800577","FAVP","Q2","MOY"
"246800585","FAVP","Q2","DEG"
"246800676","FAVP","Q3","FAV"
"246800726","MOY","Q3","MOY"
"246900575","FAVP","Q1","FAV"
"246900625","FAVP","Q2","FAV"
"246900724","FAVP","Q2","FAV"
"246900740","FAVP","Q2","FAV"
"246900757","FAVP","Q3","FAV"
"246900765","FAVP","Q1","FAV"
"247000011","MOY","Q2","MOY"
"247000367","FAV","Q3","DEG"
"247000623","MOY","Q4","DEGP"
"247000664","DEG","Q4","DEG"
"247000698","FAV","Q4","DEG"
"247000706","FAVP","Q3","FAV"
"247000714","MOY","Q4","DEG"
"247000722","FAV","Q4","DEG"
"247000755","DEGP","Q4","FAV"
"247000821","MOY","Q4","FAV"
"247000854","MOY","Q4","FAV"
"247100290","DEG","Q4","MOY"
"247100589","MOY","Q2","FAV"
"247100639","FAV","Q3","FAV"
"247100647","DEG","Q5","DEGP"
"247103765","FAV","Q3","MOY"
"247103864","FAVP","Q4","DEG"
"247104094","FAV","Q1","MOY"
"247200090","MOY","Q2","DEGP"
"247200132","DEG","Q2","DEG"
"247200348","FAV","Q3","DEGP"
"247200421","FAVP","Q4","DEG"
"247200447","FAVP","Q4","MOY"
"247200629","FAVP","Q3","MOY"
"247200686","MOY","Q1","FAV"
"247300015","FAV","Q2","MOY"
"247300254","FAVP","Q1","FAVP"
"247300262","FAVP","Q3","MOY"
"247300361","FAV","Q5","FAV"
"247300452","FAVP","Q2","FAVP"
"247300528","FAV","Q5","MOY"
"247300668","FAVP","Q2","MOY"
"247300676","FAV","Q5","FAV"
"247300817","FAVP","Q1","FAVP"
"247400047","FAVP","Q4","MOY"
"247400112","FAVP","Q4","FAV"
"247400567","FAVP","Q4","FAV"
"247400583","FAVP","Q4","MOY"
"247400617","FAVP","Q1","FAVP"
"247400666","FAVP","Q4","FAV"
"247400682","FAVP","Q1","FAV"
"247400690","FAV","Q4","FAV"
"247400724","FAVP","Q3","FAV"
"247400740","FAV","Q3","FAV"
"247400773","FAV","Q4","FAV"
"247600505","FAV","Q4","DEG"
"247600588","DEGP","Q4","DEG"
"247600604","MOY","Q5","DEGP"
"247600620","FAV","Q4","MOY"
"247600646","MOY","Q3","MOY"
"247600729","MOY","Q4","DEG"
"247600786","DEGP","Q3","FAV"
"247700032","FAVP","Q2","MOY"
"247700057","MOY","Q2","DEGP"
"247700065","FAV","Q1","DEGP"
"247700107","DEG","Q4","DEGP"
"247700339","FAVP","Q1","FAVP"
"247700594","FAVP","Q1","MOY"
"247700644","FAVP","Q1","DEG"
"247700701","FAV","Q3","DEGP"
"247800550","FAVP","Q2","DEGP"
"247800584","FAVP","Q2","FAV"
"247800618","FAVP","Q2","FAV"
"247900798","DEG","Q4","MOY"
"248000499","FAV","Q2","MOY"
"248000531","MOY","Q1","MOY"
"248000747","DEG","Q4","DEG"
"248100158","FAV","Q3","MOY"
"248100430","DEG","Q3","DEG"
"248100497","MOY","Q5","DEG"
"248100737","MOY","Q1","FAV"
"248100745","MOY","Q3","DEG"
"248200016","DEGP","Q5","DEGP"
"248200057","DEG","Q4","MOY"
"248200065","DEG","Q4","DEGP"
"248200099","MOY","Q2","MOY"
"248200107","DEGP","Q4","DEG"
"248300394","FAV","Q2","FAV"
"248300410","MOY","Q2","MOY"
"248300493","DEG","Q3","MOY"
"248300543","MOY","Q2","MOY"
"248300550","DEG","Q4","DEG"
"248400053","DEGP","Q4","DEG"
"248400160","MOY","Q4","FAV"
"248400236","DEGP","Q5","DEGP"
"248400251","DEG","Q3","DEG"
"248400285","MOY","Q4","MOY"
"248400293","DEG","Q4","DEGP"
"248400319","MOY","Q3","FAV"
"248400335","MOY","Q4","MOY"
"248500191","MOY","Q4","FAVP"
"248500258","MOY","Q3","FAVP"
"248500340","FAVP","Q4","FAVP"
"248500415","MOY","Q4","DEG"
"248500464","FAV","Q3","FAVP"
"248500530","FAVP","Q3","FAVP"
"248500563","FAV","Q3","MOY"
"248500589","FAV","Q2","FAV"
"248500621","FAV","Q3","FAVP"
"248500662","FAVP","Q4","FAVP"
"248600413","MOY","Q2","MOY"
"248600447","MOY","Q2","MOY"
"248700189","FAV","Q1","DEG"
"248719262","FAV","Q2","DEG"
"248719288","FAVP","Q1","MOY"
"248719312","MOY","Q1","MOY"
"248719338","MOY","Q3","DEG"
"248719353","DEG","Q3","DEG"
"248719361","FAV","Q1","DEG"
"248900334","DEG","Q3","DEGP"
"248900383","DEGP","Q4","DEGP"
"248900524","FAV","Q1","MOY"
"248900664","MOY","Q4","DEGP"
"248900748","FAV","Q3","DEGP"
"248900896","FAV","Q3","DEGP"
"248900938","DEG","Q2","DEG"
"249000241","DEG","Q4","DEG"
"249100074","FAVP","Q2","MOY"
"249100157","FAVP","Q1","MOY"
"249100546","FAVP","Q1","MOY"
"249100553","FAVP","Q1","MOY"
"249100595","FAV","Q2","DEGP"
"249500109","MOY","Q2","DEGP"
"249500430","FAVP","Q1","FAV"
"249500455","FAVP","Q1","MOY"
"249500489","MOY","Q1","DEGP"
"249500513","FAV","Q3","DEGP"
"249710047","DEGP","Q1","DEGP"
"249710062","DEGP","Q3","DEGP"
"249710070","DEGP","Q1","DEG"
"249720053","DEGP","Q1","DEGP"
"249720061","DEG","Q1","MOY"
"249730037","DEGP","Q5","DEGP"
"249730045","DEGP","Q2","DEGP"
"249730052","DEGP","Q5","DEGP"
"249740077","DEGP","Q4","DEGP"
"249740085","DEGP","Q5","DEGP"
"249740093","DEGP","Q4","DEGP"
"249740101","DEGP","Q4","DEGP"
"249740119","DEGP","Q3","DEGP"
"75056","FAV","Q1","FAVP"
